month_start,avg_rainfall_mm
1993-03-01,4.666666666666667
1993-04-01,
1993-05-01,18.966666666666665
1993-06-01,7.311111111111111
1993-07-01,4.460416666666666
1993-08-01,6.710416666666667
1993-09-01,5.65
1993-10-01,12.756666666666666
1993-11-01,18.273684210526316
1993-12-01,23.597222222222225
1994-01-01,7.0
1994-02-01,38.044444444444444
1994-03-01,5.0
1994-04-01,
1994-05-01,24.133333333333336
1994-06-01,8.155555555555557
1994-07-01,20.10666666666667
1994-08-01,8.083333333333334
1994-09-01,17.761764705882353
1994-10-01,22.985833333333336
1994-11-01,28.892
1994-12-01,22.92142857142857
1995-01-01,19.344444444444445
1995-02-01,
1995-03-01,
1995-04-01,
1995-05-01,43.51428571428572
1995-06-01,2.8000000000000003
1995-07-01,12.90625
1995-08-01,15.58888888888889
1995-09-01,14.826923076923077
1995-10-01,12.447500000000002
1995-11-01,24.677272727272726
1995-12-01,
1996-01-01,
1996-02-01,
1996-03-01,
1996-04-01,5.1499999999999995
1996-05-01,15.0
1996-06-01,79.15
1996-07-01,5.94
1996-08-01,
1996-09-01,
1996-10-01,
1996-11-01,20.64375
1996-12-01,34.284615384615385
1997-01-01,2.2800000000000002
1997-02-01,
1997-03-01,
1997-04-01,21.1875
1997-05-01,0.30000000000000004
1997-06-01,5.711111111111111
1997-07-01,3.9607142857142854
1997-08-01,7.129411764705883
1997-09-01,11.358823529411765
1997-10-01,22.857692307692307
1997-11-01,32.868
1997-12-01,30.001960784313724
1998-01-01,1.6
1998-02-01,
1998-03-01,2.25
1998-04-01,7.475
1998-05-01,4.85
1998-06-01,5.7
1998-07-01,9.125
1998-08-01,6.175
1998-09-01,5.084615384615384
1998-10-01,9.989473684210527
1998-11-01,19.86
1998-12-01,26.849999999999998
1999-01-01,4.05
1999-02-01,0.2
1999-03-01,
1999-04-01,5.275
1999-05-01,3.0833333333333335
1999-06-01,11.455555555555556
1999-07-01,9.8
1999-08-01,13.807692307692308
1999-09-01,17.119999999999997
1999-10-01,18.141666666666666
1999-11-01,15.589999999999998
1999-12-01,4.545454545454546
2000-01-01,
2000-02-01,38.19
2000-03-01,
2000-04-01,5.3999999999999995
2000-05-01,3.56
2000-06-01,10.544444444444444
2000-07-01,7.040000000000001
2000-08-01,3.784375
2000-09-01,9.7
2000-10-01,18.71875
2000-11-01,16.45909090909091
2000-12-01,6.48125
2001-01-01,1.4
2001-02-01,
2001-03-01,
2001-04-01,11.257142857142856
2001-05-01,4.6
2001-06-01,4.5625
2001-07-01,23.572727272727274
2001-08-01,5.290000000000001
2001-09-01,13.045454545454545
2001-10-01,25.443749999999998
2001-11-01,22.485294117647058
2001-12-01,25.104545454545452
2002-01-01,5.5125
2002-02-01,2.525
2002-03-01,
2002-04-01,
2002-05-01,4.983333333333333
2002-06-01,3.9555555555555557
2002-07-01,7.305
2002-08-01,7.4653846153846155
2002-09-01,14.18888888888889
2002-10-01,18.060526315789474
2002-11-01,47.26818181818182
2002-12-01,8.733333333333333
2003-01-01,0.1
2003-02-01,
2003-03-01,6.2
2003-04-01,
2003-05-01,0.5
2003-06-01,3.6
2003-07-01,6.246666666666667
2003-08-01,6.858823529411764
2003-09-01,13.51
2003-10-01,13.345454545454546
2003-11-01,6.0307692307692315
2003-12-01,14.025
2004-01-01,12.35
2004-02-01,
2004-03-01,0.2
2004-04-01,2.4
2004-05-01,18.0
2004-06-01,4.114285714285715
2004-07-01,5.622222222222223
2004-08-01,4.71
2004-09-01,16.6
2004-10-01,14.558822222222222
2004-11-01,16.538072916666668
2004-12-01,1.2505000000000002
2005-01-01,1.15
2005-02-01,2.016666666666667
2005-03-01,1.6
2005-04-01,9.755333333333333
2005-05-01,10.279166666666667
2005-06-01,4.396111111111111
2005-07-01,7.972892156862745
2005-08-01,6.278968253968253
2005-09-01,14.217763347763348
2005-10-01,41.82908549783549
2005-11-01,27.834444444444443
2005-12-01,28.894351851851855
2006-01-01,0.9
2006-02-01,
2006-03-01,7.343555555555556
2006-04-01,13.634444444444444
2006-05-01,14.5625
2006-06-01,3.645357142857143
2006-07-01,5.023341836734693
2006-08-01,7.887671957671958
2006-09-01,7.477777777777778
2006-10-01,29.340619488536156
2006-11-01,10.688194444444443
2006-12-01,2.4960317460317465
2007-01-01,
2007-02-01,8.799999999999999
2007-03-01,
2007-04-01,3.3333333333333335
2007-05-01,3.3
2007-06-01,4.740142390289449
2007-07-01,8.837907647907649
2007-08-01,10.634335317460316
2007-09-01,13.12593253968254
